strain	virus	date	region	country	gisaid_epi_isl
hCoV-19/USA/OH-CDC-ASC210016620/2021	ncov	2021-03-23	North America	USA	EPI_ISL_1491836
hCoV-19/Brazil/MG-LBI196/2021	ncov	2021-02-27	South America	Brazil	EPI_ISL_1494991
hCoV-19/Belize/BZ-CML-TCMC-BZ012-1020/2020	ncov	2020-10-18	North America	Belize	EPI_ISL_1822769
hCoV-19/USA/IN-CDC-ASC210004921/2021	ncov	2021-03-14	North America	USA	EPI_ISL_2242749
hCoV-19/Greece/EKAR_76847/2021	ncov	2021-02-23	Europe	Greece	EPI_ISL_1497328
hCoV-19/Panama/GMI-PA702180/2021	ncov	2021-02-11	North America	Panama	EPI_ISL_1503086
hCoV-19/Panama/GMI-PA692113/2021	ncov	2021-01-30	North America	Panama	EPI_ISL_1503032
hCoV-19/Panama/GMI-PA687724/2021	ncov	2021-01-27	North America	Panama	EPI_ISL_1503022
hCoV-19/Panama/GMI-PA684063/2021	ncov	2021-01-25	North America	Panama	EPI_ISL_1503016
hCoV-19/Panama/GMI-PA683085/2021	ncov	2021-01-24	North America	Panama	EPI_ISL_1503006
hCoV-19/Panama/GMI-PA707161/2021	ncov	2021-02-20	North America	Panama	EPI_ISL_1503114
hCoV-19/Panama/GMI-PA680524/2021	ncov	2021-01-22	North America	Panama	EPI_ISL_1503141
hCoV-19/Panama/GMI-PA678540/2021	ncov	2021-01-21	North America	Panama	EPI_ISL_1503135
hCoV-19/Panama/GMI-PA610368/2020	ncov	2020-12-20	North America	Panama	EPI_ISL_1502890
hCoV-19/Panama/GMI-PA610376/2020	ncov	2020-12-20	North America	Panama	EPI_ISL_1502892
hCoV-19/Panama/GMI-PA610401/2020	ncov	2020-12-20	North America	Panama	EPI_ISL_1502895
hCoV-19/Panama/GMI-PA465514/2020	ncov	2020-08-22	North America	Panama	EPI_ISL_1502886
hCoV-19/Panama/GMI-PA579537/2020	ncov	2020-12-04	North America	Panama	EPI_ISL_1502888
hCoV-19/Panama/GMI-PABT1918/2020	ncov	2020-07-17	North America	Panama	EPI_ISL_1502874
hCoV-19/Panama/GMI-PA627107/2020	ncov	2020-12-28	North America	Panama	EPI_ISL_1502934
hCoV-19/Panama/GMI-PA611166/2020	ncov	2020-12-20	North America	Panama	EPI_ISL_1502923
hCoV-19/Panama/GMI-PA611077/2020	ncov	2020-12-20	North America	Panama	EPI_ISL_1502915
hCoV-19/Panama/GMI-PA610574/2020	ncov	2020-12-20	North America	Panama	EPI_ISL_1502901
hCoV-19/Panama/GMI-PA610711/2020	ncov	2020-12-20	North America	Panama	EPI_ISL_1502903
hCoV-19/Panama/GMI-PA655495/2021	ncov	2021-01-10	North America	Panama	EPI_ISL_1502990
hCoV-19/Panama/GMI-PA656621/2021	ncov	2021-01-10	North America	Panama	EPI_ISL_1502992
hCoV-19/Panama/GMI-PA657988/2021	ncov	2021-01-11	North America	Panama	EPI_ISL_1502994
hCoV-19/Panama/GMI-PA658984/2021	ncov	2021-01-12	North America	Panama	EPI_ISL_1502996
hCoV-19/Panama/GMI-PA659260/2021	ncov	2021-01-12	North America	Panama	EPI_ISL_1502998
hCoV-19/Panama/GMI-PA655071/2021	ncov	2021-01-10	North America	Panama	EPI_ISL_1502987
hCoV-19/England/CAMC-14A4D3D/2021	ncov	2021-03-31	Europe	United Kingdom	EPI_ISL_1504692
hCoV-19/SouthAfrica/Tygerberg_732/2021	ncov	2021-03-15	Africa	South Africa	EPI_ISL_1502181
hCoV-19/SouthAfrica/Tygerberg_726/2021	ncov	2021-03-10	Africa	South Africa	EPI_ISL_1502178
hCoV-19/England/QEUH-14AF02A/2021	ncov	2021-03-31	Europe	United Kingdom	EPI_ISL_1505442
hCoV-19/Scotland/QEUH-146BBFC/2021	ncov	2021-03-26	Europe	United Kingdom	EPI_ISL_1507617
hCoV-19/Panama/GMI-PA645826/2021	ncov	2021-01-06	North America	Panama	EPI_ISL_1502972
hCoV-19/NorthernMarianaIslands/MP-CDC-2-4084533/2021	ncov	2021-03-13	Oceania	Northern Mariana Islands	EPI_ISL_1516191
hCoV-19/NorthernMarianaIslands/MP-CDC-2-4084429/2021	ncov	2021-03-14	Oceania	Northern Mariana Islands	EPI_ISL_1516188
hCoV-19/PuertoRico/PR-CDC-2-4084417/2021	ncov	2021-03-10	Caribbean	Puerto Rico	EPI_ISL_1516262
hCoV-19/England/QEUH-14B3779/2021	ncov	2021-03-30	Europe	United Kingdom	EPI_ISL_1517619
hCoV-19/Japan/PG-47390/2021	ncov	2021-01-09	Asia	Japan	EPI_ISL_2350704
hCoV-19/Aruba/AW-RIVM-22271/2021	ncov	2021-03-22	Caribbean	Aruba	EPI_ISL_1521174
hCoV-19/Aruba/AW-RIVM-22262/2021	ncov	2021-03-23	Caribbean	Aruba	EPI_ISL_1521169
hCoV-19/Aruba/AW-RIVM-22236/2021	ncov	2021-03-18	Caribbean	Aruba	EPI_ISL_1521154
hCoV-19/Aruba/AW-RIVM-22227/2021	ncov	2021-03-22	Caribbean	Aruba	EPI_ISL_1521149
hCoV-19/Aruba/AW-RIVM-22224/2021	ncov	2021-03-17	Caribbean	Aruba	EPI_ISL_1521146
hCoV-19/Aruba/AW-RIVM-22225/2021	ncov	2021-03-18	Caribbean	Aruba	EPI_ISL_1521147
hCoV-19/Aruba/AW-RIVM-22205/2021	ncov	2021-03-18	Caribbean	Aruba	EPI_ISL_1521136
hCoV-19/Aruba/AW-RIVM-22197/2021	ncov	2021-03-22	Caribbean	Aruba	EPI_ISL_1521132
hCoV-19/Curacao/CW-RIVM-21646/2021	ncov	2021-03-21	Caribbean	Curacao	EPI_ISL_1521078
hCoV-19/Curacao/CW-RIVM-21620/2021	ncov	2021-03-17	Caribbean	Curacao	EPI_ISL_1521071
hCoV-19/Curacao/CW-RIVM-21608/2021	ncov	2021-03-16	Caribbean	Curacao	EPI_ISL_1521068
hCoV-19/Curacao/CW-RIVM-21610/2021	ncov	2021-03-20	Caribbean	Curacao	EPI_ISL_1521069
hCoV-19/England/QEUH-14AB307/2021	ncov	2021-03-30	Europe	United Kingdom	EPI_ISL_1519791
hCoV-19/Suriname/SR-RIVM-22538/2021	ncov	2021-03-19	South America	Suriname	EPI_ISL_1521293
hCoV-19/CostaRica/HNN-0347/2020	ncov	2020-12-22	North America	Costa Rica	EPI_ISL_1517391
hCoV-19/CostaRica/HNN-0353/2020	ncov	2020-11-19	North America	Costa Rica	EPI_ISL_1517397
hCoV-19/CostaRica/HNN-0345/2020	ncov	2020-12-08	North America	Costa Rica	EPI_ISL_1517389
hCoV-19/Curacao/CW-RIVM-21644/2021	ncov	2021-03-17	Caribbean	Curacao	EPI_ISL_1521490
hCoV-19/Guadeloupe/IPP07809/2021	ncov	2021-03-16	Caribbean	Guadeloupe	EPI_ISL_1517491
hCoV-19/Guadeloupe/IPP07813/2021	ncov	2021-03-15	Caribbean	Guadeloupe	EPI_ISL_1517493
hCoV-19/Guadeloupe/IPP06962/2021	ncov	2021-03-02	Caribbean	Guadeloupe	EPI_ISL_1517463
hCoV-19/CostaRica/HNN-0388/2021	ncov	2021-03-29	North America	Costa Rica	EPI_ISL_1517432
hCoV-19/CostaRica/HNN-0389/2021	ncov	2021-03-29	North America	Costa Rica	EPI_ISL_1517433
hCoV-19/CostaRica/HNN-0377/2020	ncov	2020-12-30	North America	Costa Rica	EPI_ISL_1517421
hCoV-19/CostaRica/HNN-0376/2020	ncov	2020-12-30	North America	Costa Rica	EPI_ISL_1517420
hCoV-19/CostaRica/HNN-0375/2020	ncov	2020-12-30	North America	Costa Rica	EPI_ISL_1517419
hCoV-19/CostaRica/HNN-0367/2020	ncov	2020-12-29	North America	Costa Rica	EPI_ISL_1517411
hCoV-19/CostaRica/HNN-0369/2020	ncov	2020-12-29	North America	Costa Rica	EPI_ISL_1517413
hCoV-19/Bonaire/BQ-RIVM-22612/2021	ncov	2021-03-23	Caribbean	Bonaire	EPI_ISL_1521871
hCoV-19/Bonaire/BQ-RIVM-22610/2021	ncov	2021-03-19	Caribbean	Bonaire	EPI_ISL_1521870
hCoV-19/Bonaire/BQ-RIVM-22602/2021	ncov	2021-03-29	Caribbean	Bonaire	EPI_ISL_1521867
hCoV-19/Bonaire/BQ-RIVM-22601/2021	ncov	2021-03-21	Caribbean	Bonaire	EPI_ISL_1521866
hCoV-19/Bonaire/BQ-RIVM-22591/2021	ncov	2021-03-22	Caribbean	Bonaire	EPI_ISL_1521862
hCoV-19/Bonaire/BQ-RIVM-22569/2021	ncov	2021-03-22	Caribbean	Bonaire	EPI_ISL_1521852
hCoV-19/Bonaire/BQ-RIVM-22559/2021	ncov	2021-03-22	Caribbean	Bonaire	EPI_ISL_1521846
hCoV-19/Bonaire/BQ-RIVM-22561/2021	ncov	2021-03-29	Caribbean	Bonaire	EPI_ISL_1521848
hCoV-19/Bonaire/BQ-RIVM-22549/2021	ncov	2021-03-23	Caribbean	Bonaire	EPI_ISL_1521842
hCoV-19/Bonaire/BQ-RIVM-22557/2021	ncov	2021-03-17	Caribbean	Bonaire	EPI_ISL_1521844
hCoV-19/Bonaire/BQ-RIVM-22550/2021	ncov	2021-03-29	Caribbean	Bonaire	EPI_ISL_1521843
hCoV-19/Bonaire/BQ-RIVM-22546/2021	ncov	2021-03-18	Caribbean	Bonaire	EPI_ISL_1521839
hCoV-19/Aruba/AW-RIVM-22246/2021	ncov	2021-03-17	Caribbean	Aruba	EPI_ISL_1521160
hCoV-19/Aruba/AW-RIVM-22244/2021	ncov	2021-03-16	Caribbean	Aruba	EPI_ISL_1521158
hCoV-19/Aruba/AW-RIVM-22195/2021	ncov	2021-03-17	Caribbean	Aruba	EPI_ISL_1521130
hCoV-19/Curacao/CW-RIVM-21656/2021	ncov	2021-03-18	Caribbean	Curacao	EPI_ISL_1521079
hCoV-19/Curacao/CW-RIVM-21633/2021	ncov	2021-03-19	Caribbean	Curacao	EPI_ISL_1521075
hCoV-19/Curacao/CW-RIVM-21634/2021	ncov	2021-03-21	Caribbean	Curacao	EPI_ISL_1521076
hCoV-19/Curacao/CW-RIVM-21623/2021	ncov	2021-03-22	Caribbean	Curacao	EPI_ISL_1521073
hCoV-19/Curacao/CW-RIVM-21598/2021	ncov	2021-03-20	Caribbean	Curacao	EPI_ISL_1521067
hCoV-19/Haiti/34044/2020	ncov	2020-12-24	Caribbean	Haiti	EPI_ISL_2157576
hCoV-19/Aruba/AW-RIVM-22257/2021	ncov	2021-03-17	Caribbean	Aruba	EPI_ISL_1522135
hCoV-19/CostaRica/HNN-0406/2021	ncov	2021-02-26	North America	Costa Rica	EPI_ISL_1527026
hCoV-19/CostaRica/HNN-0399/2021	ncov	2021-02-22	North America	Costa Rica	EPI_ISL_1527019
hCoV-19/CostaRica/HNN-0397/2021	ncov	2021-02-22	North America	Costa Rica	EPI_ISL_1527017
hCoV-19/CostaRica/HNN-0395/2021	ncov	2021-02-22	North America	Costa Rica	EPI_ISL_1527015
hCoV-19/CostaRica/HNN-0392/2021	ncov	2021-02-17	North America	Costa Rica	EPI_ISL_1527012
hCoV-19/CostaRica/HNN-0391/2021	ncov	2021-02-17	North America	Costa Rica	EPI_ISL_1527011
hCoV-19/Canada/Qc-L00313200001/2020	ncov	2020-11-18	North America	Canada	EPI_ISL_1532674
hCoV-19/U.S.VirginIslands/VI-CDC-2-4122538/2021	ncov	2021-02-19	Caribbean	U.S. Virgin Islands	EPI_ISL_1528520
hCoV-19/USA/MN-MDH-4808/2021	ncov	2021-03-16	North America	USA	EPI_ISL_1527512
hCoV-19/SouthAfrica/NHLS-UCT-GS-8996/2020	ncov	2020-12-28	Africa	South Africa	EPI_ISL_1534346
hCoV-19/SouthAfrica/NHLS-UCT-GS-A809/2021	ncov	2021-02-01	Africa	South Africa	EPI_ISL_1534366
hCoV-19/SriLanka/NR25/2021	ncov	2021-03-21	Asia	Sri Lanka	EPI_ISL_1533849
hCoV-19/SouthAfrica/NHLS-UCT-GS-A926/2021	ncov	2021-02-08	Africa	South Africa	EPI_ISL_1534264
hCoV-19/SouthAfrica/NHLS-UCT-GS-B191/2021	ncov	2021-02-17	Africa	South Africa	EPI_ISL_1534271
hCoV-19/SouthAfrica/NHLS-UCT-GS-A761/2021	ncov	2021-01-27	Africa	South Africa	EPI_ISL_1534458
hCoV-19/Belgium/ULG-13850/2021	ncov	2021-03-30	Europe	Belgium	EPI_ISL_1533970
hCoV-19/Guatemala/13282/2021	ncov	2021-01-14	North America	Guatemala	EPI_ISL_1533989
hCoV-19/Peru/LIM-INS-888/2020	ncov	2020-12-27	South America	Peru	EPI_ISL_1534661
hCoV-19/Scotland/QEUH-14AA6E1/2021	ncov	2021-03-30	Europe	United Kingdom	EPI_ISL_1538226
hCoV-19/Brazil/RJ-FIOCRUZ-7803/2021	ncov	2021-02-24	South America	Brazil	EPI_ISL_1534005
hCoV-19/Brazil/RJ-FIOCRUZ-10775/2021	ncov	2021-03-11	South America	Brazil	EPI_ISL_1534011
hCoV-19/Panama/GMI-PA611151/2020	ncov	2020-12-20	North America	Panama	EPI_ISL_1502921
hCoV-19/USA/OR-OHSU-10637/2021	ncov	2021-03-09	North America	USA	EPI_ISL_1541826
hCoV-19/USA/OR-OHSU-10642/2021	ncov	2021-03-09	North America	USA	EPI_ISL_1541831
hCoV-19/Belize/BZ-CML-TCMC-BZ032-1220/2020	ncov	2020-12-27	North America	Belize	EPI_ISL_1822780
hCoV-19/Angola/KRISP-K010861/2021	ncov	2021-01-25	Africa	Angola	EPI_ISL_1545293
hCoV-19/USA/UT-UPHL-2103093706/2021	ncov	2021-01-13	North America	USA	EPI_ISL_1483181
hCoV-19/PuertoRico/PR-CDC-ASC210018381/2021	ncov	2021-03-24	Caribbean	Puerto Rico	EPI_ISL_1551611
hCoV-19/USA/MD-CDC-ASC210013278/2021	ncov	2021-03-21	North America	USA	EPI_ISL_1551060
hCoV-19/Bangladesh/BCSIR-SUST-51/2021	ncov	2021-01-20	Asia	Bangladesh	EPI_ISL_1550506
hCoV-19/PuertoRico/PR-CDC-ASC210015561/2021	ncov	2021-03-22	Caribbean	Puerto Rico	EPI_ISL_1551160
hCoV-19/USA/MA-CDC-STM-000040851/2021	ncov	2021-03-19	North America	USA	EPI_ISL_1554522
hCoV-19/Germany/un-RKI-I-062124/2021	ncov	2021-03-25	Europe	Germany	EPI_ISL_1567550
hCoV-19/PuertoRico/PR-CDC-ASC210010725/2021	ncov	2021-03-17	Caribbean	Puerto Rico	EPI_ISL_1563334
hCoV-19/Panama/GMI-PA644784/2021	ncov	2021-01-06	North America	Panama	EPI_ISL_1502967
hCoV-19/Germany/NW-RKI-I-063489/2021	ncov	2021-03-22	Europe	Germany	EPI_ISL_1568698
hCoV-19/Germany/un-RKI-I-063390/2021	ncov	2021-03-22	Europe	Germany	EPI_ISL_1568602
hCoV-19/Germany/SN-RKI-I-064072/2021	ncov	2021-03-18	Europe	Germany	EPI_ISL_1569259
hCoV-19/Germany/BY-RKI-I-065218/2021	ncov	2021-03-11	Europe	Germany	EPI_ISL_1570341
hCoV-19/Germany/un-RKI-I-067097/2021	ncov	2021-03-29	Europe	Germany	EPI_ISL_1571894
hCoV-19/Reunion/PIMIT_00046/2021	ncov	2021-01-23	Africa	Reunion	EPI_ISL_1628702
hCoV-19/Germany/un-RKI-I-069690/2021	ncov	2021-03-30	Europe	Germany	EPI_ISL_1573833
hCoV-19/Togo/C4477/2020	ncov	2020-12-09	Africa	Togo	EPI_ISL_1575297
hCoV-19/Haiti/34037/2020	ncov	2020-12-14	Caribbean	Haiti	EPI_ISL_2157367
hCoV-19/Lithuania/LTU000_46396/2021	ncov	2021-03-06	Europe	Lithuania	EPI_ISL_1580232
hCoV-19/USA/PA-CDC-QDX23396158/2021	ncov	2021-03-27	North America	USA	EPI_ISL_1582172
hCoV-19/Spain/CT-HUGTiPM010MZ7H2/2021	ncov	2021-03-30	Europe	Spain	EPI_ISL_1583625
hCoV-19/USA/NY-Wadsworth-21039628-01/2021	ncov	2021-03-30	North America	USA	EPI_ISL_1582296
hCoV-19/USA/MN-CDC-IBX473333617596/2021	ncov	2021-03-29	North America	USA	EPI_ISL_1587724
hCoV-19/Ireland/L-NVRL-21IRL91129/2021	ncov	2021-03-25	Europe	Ireland	EPI_ISL_1589537
hCoV-19/India/WB-1930900124946/2021	ncov	2021-03-04	Asia	India	EPI_ISL_1589945
hCoV-19/Latvia/2103044425/2021	ncov	2021-03-12	Europe	Latvia	EPI_ISL_1590210
hCoV-19/Bonaire/BQ-RIVM-23579/2021	ncov	2021-03-26	Caribbean	Bonaire	EPI_ISL_1596460
hCoV-19/Bonaire/BQ-RIVM-23568/2021	ncov	2021-03-29	Caribbean	Bonaire	EPI_ISL_1596449
hCoV-19/Bonaire/BQ-RIVM-23554/2021	ncov	2021-03-25	Caribbean	Bonaire	EPI_ISL_1596435
hCoV-19/SintMaarten/SX-RIVM-23109/2021	ncov	2021-02-09	Caribbean	Sint Maarten	EPI_ISL_1595991
hCoV-19/SintMaarten/SX-RIVM-23111/2021	ncov	2021-03-17	Caribbean	Sint Maarten	EPI_ISL_1595993
hCoV-19/SintMaarten/SX-RIVM-23110/2021	ncov	2021-02-10	Caribbean	Sint Maarten	EPI_ISL_1595992
hCoV-19/SintMaarten/SX-RIVM-23098/2021	ncov	2021-02-16	Caribbean	Sint Maarten	EPI_ISL_1595980
hCoV-19/SintMaarten/SX-RIVM-23100/2021	ncov	2021-02-12	Caribbean	Sint Maarten	EPI_ISL_1595982
hCoV-19/SintMaarten/SX-RIVM-23101/2021	ncov	2021-02-27	Caribbean	Sint Maarten	EPI_ISL_1595983
hCoV-19/Bonaire/BQ-RIVM-23519/2021	ncov	2021-03-23	Caribbean	Bonaire	EPI_ISL_1596400
hCoV-19/Bonaire/BQ-RIVM-23635/2021	ncov	2021-03-28	Caribbean	Bonaire	EPI_ISL_1596516
hCoV-19/Netherlands/OV-RIVM-23885/2021	ncov	2021-02-22	Europe	Netherlands	EPI_ISL_1596766
hCoV-19/SintMaarten/SX-RIVM-23185/2021	ncov	2021-03-25	Caribbean	Sint Maarten	EPI_ISL_1596067
hCoV-19/Aruba/AW-RIVM-23202/2021	ncov	2021-03-30	Caribbean	Aruba	EPI_ISL_1596084
hCoV-19/SintMaarten/SX-RIVM-23220/2021	ncov	2021-03-24	Caribbean	Sint Maarten	EPI_ISL_1596102
hCoV-19/Aruba/AW-RIVM-23257/2021	ncov	2021-03-30	Caribbean	Aruba	EPI_ISL_1596139
hCoV-19/SintMaarten/SX-RIVM-23231/2021	ncov	2021-03-25	Caribbean	Sint Maarten	EPI_ISL_1596113
hCoV-19/Aruba/AW-RIVM-23335/2021	ncov	2021-03-29	Caribbean	Aruba	EPI_ISL_1596216
hCoV-19/Aruba/AW-RIVM-23326/2021	ncov	2021-03-30	Caribbean	Aruba	EPI_ISL_1596207
hCoV-19/Curacao/CW-RIVM-23357/2021	ncov	2021-03-30	Caribbean	Curacao	EPI_ISL_1596238
hCoV-19/SintMaarten/SX-RIVM-23038/2021	ncov	2021-02-09	Caribbean	Sint Maarten	EPI_ISL_1595920
hCoV-19/SintMaarten/SX-RIVM-23040/2021	ncov	2021-02-26	Caribbean	Sint Maarten	EPI_ISL_1595922
hCoV-19/SintMaarten/SX-RIVM-23039/2021	ncov	2021-02-17	Caribbean	Sint Maarten	EPI_ISL_1595921
hCoV-19/SintMaarten/SX-RIVM-23041/2021	ncov	2021-03-17	Caribbean	Sint Maarten	EPI_ISL_1595923
hCoV-19/SintMaarten/SX-RIVM-23091/2021	ncov	2021-03-17	Caribbean	Sint Maarten	EPI_ISL_1595973
hCoV-19/SintMaarten/SX-RIVM-23060/2021	ncov	2021-02-08	Caribbean	Sint Maarten	EPI_ISL_1595942
hCoV-19/SintMaarten/SX-RIVM-23061/2021	ncov	2021-03-17	Caribbean	Sint Maarten	EPI_ISL_1595943
hCoV-19/Sweden/461819553724/2021	ncov	2021-03-09	Europe	Sweden	EPI_ISL_1602982
hCoV-19/Switzerland/AG-ETHZ-550438/2020	ncov	2020-12-07	Europe	Switzerland	EPI_ISL_1598866
hCoV-19/Sweden/4012110864/2021	ncov	2021-03-18	Europe	Sweden	EPI_ISL_1606540
hCoV-19/Kenya/N239004/2021	ncov	2021-03-10	Africa	Kenya	EPI_ISL_1610624
hCoV-19/Latvia/1406/2021	ncov	2021-03-17	Europe	Latvia	EPI_ISL_1613198
hCoV-19/USA/CO-CDPHE-2100730536/2021	ncov	2021-03-27	North America	USA	EPI_ISL_1617309
hCoV-19/PuertoRico/PR-CDC-S181/2021	ncov	2021-03-04	Caribbean	Puerto Rico	EPI_ISL_1620611
hCoV-19/PuertoRico/PR-CDC-S187/2021	ncov	2021-03-05	Caribbean	Puerto Rico	EPI_ISL_1620606
hCoV-19/PuertoRico/PR-CDC-S203/2021	ncov	2021-03-08	Caribbean	Puerto Rico	EPI_ISL_1620550
hCoV-19/PuertoRico/PR-CDC-S265/2021	ncov	2021-03-30	Caribbean	Puerto Rico	EPI_ISL_1620577
hCoV-19/PuertoRico/PR-CDC-S189/2021	ncov	2021-03-06	Caribbean	Puerto Rico	EPI_ISL_1620599
hCoV-19/PuertoRico/PR-CDC-S174/2021	ncov	2021-03-02	Caribbean	Puerto Rico	EPI_ISL_1620594
hCoV-19/PuertoRico/PR-CDC-S241/2021	ncov	2021-03-22	Caribbean	Puerto Rico	EPI_ISL_1620584
hCoV-19/PuertoRico/PR-CDC-S239/2021	ncov	2021-03-19	Caribbean	Puerto Rico	EPI_ISL_1620583
hCoV-19/Reunion/PIMIT_01178/2021	ncov	2021-02-22	Africa	Reunion	EPI_ISL_1629107
hCoV-19/Reunion/PIMIT_01104/2021	ncov	2021-02-19	Africa	Reunion	EPI_ISL_1629063
hCoV-19/Reunion/PIMIT_01103/2021	ncov	2021-02-19	Africa	Reunion	EPI_ISL_1629062
hCoV-19/Reunion/PIMIT_01082/2021	ncov	2021-02-18	Africa	Reunion	EPI_ISL_1629051
hCoV-19/Reunion/PIMIT_01117/2021	ncov	2021-02-18	Africa	Reunion	EPI_ISL_1629073
hCoV-19/Reunion/PIMIT_01052/2021	ncov	2021-02-19	Africa	Reunion	EPI_ISL_1629032
hCoV-19/USA/NY-Wadsworth-21039888-01/2021	ncov	2021-03-19	North America	USA	EPI_ISL_1624474
hCoV-19/Reunion/PIMIT_00568/2021	ncov	2021-02-10	Africa	Reunion	EPI_ISL_1628853
hCoV-19/Reunion/PIMIT_01826/2021	ncov	2021-03-02	Africa	Reunion	EPI_ISL_1629223
hCoV-19/Reunion/PIMIT_01675/2021	ncov	2021-02-16	Africa	Reunion	EPI_ISL_1629203
hCoV-19/Reunion/PIMIT_03541/2021	ncov	2021-03-10	Africa	Reunion	EPI_ISL_1629283
hCoV-19/USA/MA-MASPHL-02921/2021	ncov	2021-03-30	North America	USA	EPI_ISL_1624649
hCoV-19/Reunion/PIMIT_00948/2021	ncov	2021-02-16	Africa	Reunion	EPI_ISL_1628966
hCoV-19/Reunion/PIMIT_00970/2021	ncov	2021-02-17	Africa	Reunion	EPI_ISL_1628983
hCoV-19/Reunion/PIMIT_01779/2021	ncov	2021-03-02	Africa	Reunion	EPI_ISL_1629427
hCoV-19/Reunion/PIMIT_00309/2021	ncov	2021-02-06	Africa	Reunion	EPI_ISL_1629416
hCoV-19/Peru/ARE-UPCH-0389/2021	ncov	2021-01-01	South America	Peru	EPI_ISL_1629779
hCoV-19/Senegal/SN-IR2-0010667/2021	ncov	2021-01-16	Africa	Senegal	EPI_ISL_1630259
hCoV-19/Reunion/PIMIT_03533/2021	ncov	2021-03-10	Africa	Reunion	EPI_ISL_1629276
hCoV-19/Reunion/PIMIT_00315/2021	ncov	2021-02-05	Africa	Reunion	EPI_ISL_1629419
hCoV-19/SintMaarten/SX-RIVM-23059/2021	ncov	2021-02-08	Caribbean	Sint Maarten	EPI_ISL_1595941
hCoV-19/England/TFCI-2709A57/2020	ncov	2020-12-16	Europe	United Kingdom	EPI_ISL_1638167
hCoV-19/India/KA-071329_2_S147_R1_001/2020	ncov	2020-12-14	Asia	India	EPI_ISL_1708441
hCoV-19/England/LOND-132C25D/2020	ncov	2020-12-28	Europe	United Kingdom	EPI_ISL_1637066
hCoV-19/Germany/un-RKI-I-074039/2021	ncov	2021-03-31	Europe	Germany	EPI_ISL_1640393
hCoV-19/Germany/NW-RKI-I-081352/2021	ncov	2021-03-25	Europe	Germany	EPI_ISL_1645948
hCoV-19/USA/WY-WPHL-20171920/2020	ncov	2020-12-29	North America	USA	EPI_ISL_1647904
hCoV-19/Germany/HH-RKI-I-081480/2021	ncov	2021-03-25	Europe	Germany	EPI_ISL_1646188
hCoV-19/USA/MD-CDC-IBX720641157636/2021	ncov	2021-03-27	North America	USA	EPI_ISL_1692204
hCoV-19/Russia/SVE-RII-MH15791S/2021	ncov	2021-03-09	Europe	Russia	EPI_ISL_1652652
hCoV-19/USA/NJ-CDC-ASC210018969/2021	ncov	2021-03-25	North America	USA	EPI_ISL_1650907
hCoV-19/USA/FL-CDC-ASC210020495/2021	ncov	2021-03-25	North America	USA	EPI_ISL_1650340
hCoV-19/Uganda/MAKCHScov30/2021	ncov	2021-01-13	Africa	Uganda	EPI_ISL_1652073
hCoV-19/Ireland/D-NVRL-e87IRL74038/2021	ncov	2021-03-22	Europe	Ireland	EPI_ISL_1657622
hCoV-19/Madagascar/IPM-02015/2021	ncov	2021-02-23	Africa	Madagascar	EPI_ISL_1660279
hCoV-19/Madagascar/IPM-02162/2021	ncov	2021-02-26	Africa	Madagascar	EPI_ISL_1660283
hCoV-19/Israel/1995830051/2021	ncov	2021-02-09	Asia	Israel	EPI_ISL_1656489
hCoV-19/SintMaarten/SX-RIVM-23088/2021	ncov	2021-02-09	Caribbean	Sint Maarten	EPI_ISL_1595970
hCoV-19/Madagascar/IPM-01116/2021	ncov	2021-01-23	Africa	Madagascar	EPI_ISL_1660308
hCoV-19/Madagascar/IPM-39541/2020	ncov	2020-11-24	Africa	Madagascar	EPI_ISL_1660321
hCoV-19/Madagascar/IPM-01517/2021	ncov	2021-02-05	Africa	Madagascar	EPI_ISL_1660260
hCoV-19/Germany/ST-MD1724/2021	ncov	2021-03-22	Europe	Germany	EPI_ISL_1670063
hCoV-19/Peru/ARE-UPCH-0380/2021	ncov	2021-01-01	South America	Peru	EPI_ISL_1629770
hCoV-19/Belize/BZ-CML-TCMC-BZ013-1020/2020	ncov	2020-10-21	North America	Belize	EPI_ISL_1822770
hCoV-19/USA/MI-CDC-ASC210028651/2021	ncov	2021-03-30	North America	USA	EPI_ISL_1668030
hCoV-19/USA/IL-CDC-ASC210027659/2021	ncov	2021-03-30	North America	USA	EPI_ISL_1667780
hCoV-19/Slovenia/165755/2021	ncov	2021-03-26	Europe	Slovenia	EPI_ISL_1669686
hCoV-19/Israel/CVL-5997/2021	ncov	2021-01-31	Asia	Israel	EPI_ISL_1674401
hCoV-19/Israel/CVL-5609/2021	ncov	2021-01-28	Asia	Israel	EPI_ISL_1674314
hCoV-19/Israel/CVL-5054/2021	ncov	2021-02-07	Asia	Israel	EPI_ISL_1673888
hCoV-19/Botswana/BOT361246/2020	ncov	2020-11-25	Africa	Botswana	EPI_ISL_1677714
hCoV-19/USA/IL-CDC-LC0041928/2021	ncov	2021-03-31	North America	USA	EPI_ISL_1681962
hCoV-19/CostaRica/INC-0106/2020	ncov	2020-07-15	North America	Costa Rica	EPI_ISL_2103371
hCoV-19/India/ILSGS00970/2021	ncov	2021-03-22	Asia	India	EPI_ISL_1663542
hCoV-19/USA/NV-CDC-LC0039259/2021	ncov	2021-03-28	North America	USA	EPI_ISL_1612042
hCoV-19/Estonia/154553/2021	ncov	2021-03-26	Europe	Estonia	EPI_ISL_1686136
