strain	virus	date	region	country
Nicaragua/MAN-50782/2021	ncov	2021-01-25	North America	Nicaragua
Nicaragua/MAN-50783/2021	ncov	2021-01-25	North America	Nicaragua
Nicaragua/MAN-50785/2021	ncov	2021-01-26	North America	Nicaragua
Nicaragua/MAN-50802/2021	ncov	2021-01-27	North America	Nicaragua
Nicaragua/MAN-50815/2021	ncov	2021-01-27	North America	Nicaragua
Nicaragua/MAN-50816/2021	ncov	2021-01-26	North America	Nicaragua
Nicaragua/MAN-50840/2021	ncov	2021-01-30	North America	Nicaragua
Nicaragua/MAN-54124/2021	ncov	2021-02-07	North America	Nicaragua
Nicaragua/MAN-54126/2021	ncov	2021-02-05	North America	Nicaragua
Nicaragua/MAN-54128/2021	ncov	2021-02-10	North America	Nicaragua
Nicaragua/MAN-54131/2021	ncov	2021-02-10	North America	Nicaragua
Nicaragua/MAN-54148/2021	ncov	2021-02-08	North America	Nicaragua
Nicaragua/MAN-54685/2021	ncov	2021-02-13	North America	Nicaragua
Nicaragua/MAN-54686/2021	ncov	2021-02-13	North America	Nicaragua
Nicaragua/MAN-54687/2021	ncov	2021-02-10	North America	Nicaragua
Nicaragua/MAN-54688/2021	ncov	2021-02-10	North America	Nicaragua
Nicaragua/MAN-55721/2021	ncov	2021-02-13	North America	Nicaragua
Nicaragua/MAN-55722/2021	ncov	2021-02-15	North America	Nicaragua
Nicaragua/MAN-56080/2021	ncov	2021-02-15	North America	Nicaragua
Nicaragua/MAN-56147/2021	ncov	2021-02-13	North America	Nicaragua
Nicaragua/MAN-56148/2021	ncov	2021-02-12	North America	Nicaragua
Nicaragua/MAN-58183/2021	ncov	2021-02-27	North America	Nicaragua
Nicaragua/MAN-58194/2021	ncov	2021-02-24	North America	Nicaragua
Nicaragua/MAN-59735/2021	ncov	2021-02-28	North America	Nicaragua
Nicaragua/MAN-62164/2021	ncov	2021-03-10	North America	Nicaragua
Nicaragua/MAN-62172/2021	ncov	2021-03-06	North America	Nicaragua
Nicaragua/MAN-62647/2021	ncov	2021-03-12	North America	Nicaragua
Nicaragua/MAN-63289/2021	ncov	2021-03-18	North America	Nicaragua
Nicaragua/MAN-63293/2021	ncov	2021-03-15	North America	Nicaragua
Nicaragua/MAN-63294/2021	ncov	2021-03-13	North America	Nicaragua
Nicaragua/MAN-63436/2021	ncov	2021-03-23	North America	Nicaragua
Nicaragua/MAN-63439/2021	ncov	2021-03-20	North America	Nicaragua
Nicaragua/MAN-63440/2021	ncov	2021-03-17	North America	Nicaragua
Nicaragua/MAN-63494/2021	ncov	2021-03-21	North America	Nicaragua
Nicaragua/MAN-64110/2021	ncov	2021-03-20	North America	Nicaragua
Nicaragua/MAN-64427/2021	ncov	2021-03-22	North America	Nicaragua
Nicaragua/MAN-65676/2021	ncov	2021-03-24	North America	Nicaragua
Nicaragua/MAN-65677/2021	ncov	2021-03-27	North America	Nicaragua
Nicaragua/MAN-65709/2021	ncov	2021-03-27	North America	Nicaragua
Nicaragua/MAN-65713/2021	ncov	2021-03-29	North America	Nicaragua
Nicaragua/MAN-7487_30/2021	ncov	2021-03-23	North America	Nicaragua
Nigeria/CV838/2021	ncov	2021-01-27	Africa	Nigeria
Norway/1471/2021	ncov	2021-01-08	Europe	Norway
Norway/3335/2021	ncov	2021-02-07	Europe	Norway
Norway/5823/2020	ncov	2020-11-19	Europe	Norway
Norway/0826/2021	ncov	2021-01-11	Europe	Norway
Norway/0830/2021	ncov	2021-01-13	Europe	Norway
Norway/7103/2020	ncov	2020-12-18	Europe	Norway
Norway/3111/2020	ncov	2020-08-05	Europe	Norway
Norway/4931/2021	ncov	2021-02-23	Europe	Norway
Norway/4591/2020	ncov	2020-10-16	Europe	Norway
Norway/7489/2020	ncov	2020-12-15	Europe	Norway
Norway/3865/2021	ncov	2021-02-15	Europe	Norway
Norway/7171/2021	ncov	2021-03-16	Europe	Norway
Norway/8082/2021	ncov	2021-03-23	Europe	Norway
Norway/5691/2021	ncov	2021-03-05	Europe	Norway
Norway/4846/2021	ncov	2021-02-24	Europe	Norway
Norway/5670/2021	ncov	2021-03-06	Europe	Norway
Norway/7504/2020	ncov	2020-12-28	Europe	Norway
Norway/Ahus-281/2021	ncov	2021-03-15	Europe	Norway
Norway/08663/2021	ncov	2021-03-31	Europe	Norway
Norway/08185/2021	ncov	2021-03-30	Europe	Norway
Norway/OUS-01466/2021	ncov	2021-02-04	Europe	Norway
Norway/4286/2021	ncov	2021-02-19	Europe	Norway
Norway/5676/2021	ncov	2021-03-10	Europe	Norway
Oman/52178/2021	ncov	2021-03-01	Asia	Oman
Pakistan/KRISS0818/2021	ncov	2021-03-24	Asia	Pakistan
Panama/GMI-PA644672/2021	ncov	2021-01-06	North America	Panama
Panama/GMI-PA645669/2021	ncov	2021-01-06	North America	Panama
Panama/GMI-PA630322/2020	ncov	2020-12-30	North America	Panama
Panama/GMI-PA579537/2020	ncov	2020-12-04	North America	Panama
Panama/GMI-PA610371/2020	ncov	2020-12-20	North America	Panama
Panama/GMI-PA610438/2020	ncov	2020-12-20	North America	Panama
Panama/GMI-PA659260/2021	ncov	2021-01-12	North America	Panama
Panama/GMI-PA463358/2020	ncov	2020-08-18	North America	Panama
Panama/GMI-PA427024/2020	ncov	2020-07-21	North America	Panama
Panama/GMI-PA461366/2020	ncov	2020-08-16	North America	Panama
Panama/GMI-PA451856/2020	ncov	2020-08-09	North America	Panama
Panama/GMI-PA661402/2021	ncov	2021-01-13	North America	Panama
Panama/GMI-PA426757/2020	ncov	2020-07-20	North America	Panama
Panama/GMI-PA689987/2021	ncov	2021-01-29	North America	Panama
Panama/GMI-PA611103/2020	ncov	2020-12-20	North America	Panama
Panama/GMI-PA427748/2020	ncov	2020-07-21	North America	Panama
Panama/GMI-PA416596/2020	ncov	2020-07-12	North America	Panama
Panama/GMI-PA683193/2021	ncov	2021-01-24	North America	Panama
Panama/GMI-PA683360/2021	ncov	2021-01-25	North America	Panama
Panama/GMI-PA683963/2021	ncov	2021-01-25	North America	Panama
Panama/GMI-PA611166/2020	ncov	2020-12-20	North America	Panama
Panama/GMI-PA676148/2021	ncov	2021-01-20	North America	Panama
Panama/GMI-PA438718/2020	ncov	2020-07-30	North America	Panama
Panama/GMI-PA692013/2021	ncov	2021-01-30	North America	Panama
Panama/GMI-PA685628/2021	ncov	2021-01-31	North America	Panama
Panama/GMI-PA628731/2020	ncov	2020-12-29	North America	Panama
Panama/GMI-PA694286/2021	ncov	2021-02-02	North America	Panama
Panama/GMI-PA462077/2020	ncov	2020-08-17	North America	Panama
Panama/GMI-PA639902/2021	ncov	2021-01-05	North America	Panama
Panama/GMI-PA642046/2021	ncov	2021-01-05	North America	Panama
Panama/GMI-PA432863/2020	ncov	2020-07-25	North America	Panama
Panama/GMI-PACH55547/2021	ncov	2021-03-05	North America	Panama
Panama/GMI-PA715866/2021	ncov	2021-03-05	North America	Panama
Panama/GMI-PA727826/2021	ncov	2021-03-30	North America	Panama
Panama/GMI-PACH58093/2021	ncov	2021-03-05	North America	Panama
Panama/GMI-PACH62942/2021	ncov	2021-03-05	North America	Panama
Panama/GMI-PA721382/2021	ncov	2021-03-15	North America	Panama
Panama/GMI-PAM0477/2021	ncov	2021-03-23	North America	Panama
Panama/GMI-PA713244/2021	ncov	2021-03-01	North America	Panama
Panama/GMI-PACZ1479/2021	ncov	2021-03-30	North America	Panama
Panama/GMI-PA725248/2021	ncov	2021-03-23	North America	Panama
Panama/GMI-PAM1943/2021	ncov	2021-03-29	North America	Panama
Panama/GMI-PA723507/2021	ncov	2021-03-19	North America	Panama
Panama/GMI-PA718577/2021	ncov	2021-03-10	North America	Panama
Panama/GMI-PA722673/2021	ncov	2021-03-17	North America	Panama
Panama/GMI-PA723938/2021	ncov	2021-03-20	North America	Panama
Panama/GMI-PA728068/2021	ncov	2021-03-31	North America	Panama
Panama/GMI-PA723224/2021	ncov	2021-03-19	North America	Panama
Panama/GMI-PA715812/2021	ncov	2021-03-05	North America	Panama
Panama/GMI-PA718877/2021	ncov	2021-03-10	North America	Panama
Panama/GMI-PA719822/2021	ncov	2021-03-12	North America	Panama
Panama/GMI-PA722380/2021	ncov	2021-03-16	North America	Panama
Panama/GMI-PA720397/2021	ncov	2021-03-13	North America	Panama
Panama/GMI-PA722247/2021	ncov	2021-03-16	North America	Panama
Panama/GMI-PA714891/2021	ncov	2021-03-03	North America	Panama
Panama/GMI-PAM1067/2021	ncov	2021-03-25	North America	Panama
Panama/GMI-PAM2126/2021	ncov	2021-03-30	North America	Panama
Panama/GMI-PA722102/2021	ncov	2021-03-16	North America	Panama
Panama/GMI-PA721906/2021	ncov	2021-03-16	North America	Panama
Panama/GMI-PAM1689/2021	ncov	2021-03-27	North America	Panama
Panama/GMI-PA722553/2021	ncov	2021-03-17	North America	Panama
Panama/GMI-PACNB22631/2021	ncov	2021-03-19	North America	Panama
Panama/GMI-PA727659/2021	ncov	2021-03-30	North America	Panama
Panama/GMI-PACNB22634/2021	ncov	2021-03-20	North America	Panama
Panama/GMI-PAM0660/2021	ncov	2021-03-24	North America	Panama
Panama/GMI-PA715439/2021	ncov	2021-03-04	North America	Panama
Panama/GMI-PA718437/2021	ncov	2021-03-09	North America	Panama
Panama/GMI-PA727057/2021	ncov	2021-03-28	North America	Panama
Panama/PA700415-GMI/2021	ncov	2021-02-09	North America	Panama
Panama/GMI-PACNB11331/2020	ncov	2020-07-29	North America	Panama
Panama/GMI-PAFQ010/2021	ncov	2021-03-04	North America	Panama
Panama/GMI-PAFQ040/2020	ncov	2020-12-21	North America	Panama
Panama/3012-GMI/2020	ncov	2020-07-01	North America	Panama
Panama/3058-GMI/2020	ncov	2020-07-02	North America	Panama
Panama/3168-GMI/2020	ncov	2020-07-03	North America	Panama
Panama/3360-GMI/2020	ncov	2020-07-06	North America	Panama
Panama/3522-GMI/2020	ncov	2020-07-09	North America	Panama
Panama/3527-GMI/2020	ncov	2020-07-10	North America	Panama
Panama/3570-GMI/2020	ncov	2020-07-11	North America	Panama
Panama/3603-GMI/2020	ncov	2020-07-11	North America	Panama
Panama/3750-GMI/2020	ncov	2020-07-17	North America	Panama
Panama/3847-GMI/2020	ncov	2020-07-28	North America	Panama
Panama/4022-GMI/2020	ncov	2020-08-13	North America	Panama
Panama/4034-GMI/2020	ncov	2020-08-13	North America	Panama
Panama/4064-GMI/2020	ncov	2020-08-14	North America	Panama
Panama/4088-GMI/2020	ncov	2020-08-14	North America	Panama
Panama/4228-GMI/2020	ncov	2020-08-17	North America	Panama
Panama/4302-GMI/2020	ncov	2020-08-18	North America	Panama
Panama/4307-GMI/2020	ncov	2020-08-19	North America	Panama
Panama/474676-GMI/2020	ncov	2020-08-31	North America	Panama
Panama/477332-GMI/2020	ncov	2020-09-02	North America	Panama
Panama/477753-GMI/2020	ncov	2020-09-02	North America	Panama
Panama/507845-GMI/2020	ncov	2020-10-05	North America	Panama
Panama/508188-GMI/2020	ncov	2020-10-06	North America	Panama
Panama/509211-GMI/2020	ncov	2020-10-06	North America	Panama
Panama/515223-GMI/2020	ncov	2020-10-13	North America	Panama
Panama/517256-GMI/2020	ncov	2020-10-14	North America	Panama
Panama/519179-GMI/2020	ncov	2020-10-16	North America	Panama
Panama/519561-GMI/2020	ncov	2020-10-16	North America	Panama
PapuaNewGuinea/25/2020	ncov	2020-12-06	Oceania	Papua New Guinea
PapuaNewGuinea/PNG3401/2021	ncov	2021-03-11	Oceania	Papua New Guinea
PapuaNewGuinea/PNG1160/2021	ncov	2021-03-31	Oceania	Papua New Guinea
Peru/HUC-INS-859/2020	ncov	2020-12-04	South America	Peru
Peru/LIM-INS-889/2020	ncov	2020-12-23	South America	Peru
Peru/UCA-INS-1620/2021	ncov	2021-03-17	South America	Peru
Peru/TAC-011/2021	ncov	2021-02-11	South America	Peru
Philippines/PH-PGC-07344/2021	ncov	2021-02-22	Asia	Philippines
Philippines/PH-PGC-01462/2020	ncov	2020-12-04	Asia	Philippines
Philippines/PH-RITM-226/2021	ncov	2021-03-10	Asia	Philippines
Poland/Pomorskie_MWB_80/2021	ncov	2021-01-29	Europe	Poland
Poland/NIPH-NIH_ECDC-1415/2021	ncov	2021-03-01	Europe	Poland
Poland/NIPH-NIH_ECDC-1023/2021	ncov	2021-02-27	Europe	Poland
Poland/NIPH-NIH_ECDC-781/2021	ncov	2021-02-25	Europe	Poland
Poland/Pomorskie_MWB_406/2021	ncov	2021-03-02	Europe	Poland
Poland/PL_P705/2021	ncov	2021-03-11	Europe	Poland
Poland/NIPH-NIH_ECDC-1518/2021	ncov	2021-03-02	Europe	Poland
Poland/2142818439_gx1/2021	ncov	2021-03-02	Europe	Poland
Poland/NIPH-NIH_ECDC-2556/2021	ncov	2021-03-16	Europe	Poland
Poland/NIPH-NIH_ECDC-2736/2021	ncov	2021-03-22	Europe	Poland
Poland/0107WSN2021_wsseol/2021	ncov	2021-03-04	Europe	Poland
Poland/PL_RCNT_E27107/2021	ncov	2021-01-20	Europe	Poland
Poland/WGS-CoV-PZH-UMB-0465/2021	ncov	2021-03-29	Europe	Poland
Poland/NIPH-NIH_ECDC-3051/2021	ncov	2021-03-28	Europe	Poland
Poland/UKDD-8726659500/2021	ncov	2021-03-30	Europe	Poland
Poland/KCZ359/2021	ncov	2021-03-16	Europe	Poland
Portugal/PT3407/2021	ncov	2021-02-10	Europe	Portugal
Portugal/PT3018/2021	ncov	2021-01-25	Europe	Portugal
Portugal/PT2636/2021	ncov	2021-01-12	Europe	Portugal
Portugal/PT4835/2021	ncov	2021-03-05	Europe	Portugal
PuertoRico/PR-DZ4H/2021	ncov	2021-01-11	North America	Puerto Rico
PuertoRico/PR-B2DR/2020	ncov	2020-08-04	North America	Puerto Rico
PuertoRico/PR-CDC-S106/2020	ncov	2020-09-11	North America	Puerto Rico
PuertoRico/PR-CDC-S149/2021	ncov	2021-01-07	North America	Puerto Rico
PuertoRico/PR-CDC-S138/2020	ncov	2020-11-13	North America	Puerto Rico
PuertoRico/PR-CDC-S159/2021	ncov	2021-01-18	North America	Puerto Rico
PuertoRico/PR-B35C/2020	ncov	2020-08-05	North America	Puerto Rico
PuertoRico/PR-CDC-S79/2020	ncov	2020-08-20	North America	Puerto Rico
PuertoRico/PR-CDC-LC0016907/2021	ncov	2021-02-10	North America	Puerto Rico
PuertoRico/PR-CDC-S166/2021	ncov	2021-01-12	North America	Puerto Rico
PuertoRico/PR-CDC-S125/2020	ncov	2020-10-02	North America	Puerto Rico
PuertoRico/PR-CDC-S63/2020	ncov	2020-10-15	North America	Puerto Rico
PuertoRico/PR-CDC-S169/2020	ncov	2020-07-07	North America	Puerto Rico
PuertoRico/PR-F04V/2021	ncov	2021-01-11	North America	Puerto Rico
PuertoRico/PR-CDC-S133/2020	ncov	2020-12-19	North America	Puerto Rico
PuertoRico/PR-CDC-S113/2020	ncov	2020-10-13	North America	Puerto Rico
PuertoRico/PR-CDC-S84/2020	ncov	2020-08-28	North America	Puerto Rico
PuertoRico/PR-CDC-LC0011162/2021	ncov	2021-01-27	North America	Puerto Rico
PuertoRico/PR-CDC-S122/2020	ncov	2020-10-02	North America	Puerto Rico
PuertoRico/PR-CDC-S165/2021	ncov	2021-01-12	North America	Puerto Rico
PuertoRico/PR-CDC-S154/2020	ncov	2020-11-07	North America	Puerto Rico
PuertoRico/PR-CDC-S124/2020	ncov	2020-10-03	North America	Puerto Rico
PuertoRico/PR-CDC-S102/2020	ncov	2020-09-04	North America	Puerto Rico
PuertoRico/PR-CDC-LC0003681/2021	ncov	2021-01-09	North America	Puerto Rico
PuertoRico/PR-CDC-S54/2020	ncov	2020-07-23	North America	Puerto Rico
PuertoRico/PR-CDC-LC0010248/2021	ncov	2021-01-25	North America	Puerto Rico
PuertoRico/PR-CDC-S155/2020	ncov	2020-12-08	North America	Puerto Rico
PuertoRico/PR-CDC-S43/2020	ncov	2020-07-15	North America	Puerto Rico
PuertoRico/PR-F048/2021	ncov	2021-01-11	North America	Puerto Rico
PuertoRico/PR-CDC-S33/2020	ncov	2020-07-14	North America	Puerto Rico
PuertoRico/PR-CDC-S97/2020	ncov	2020-09-06	North America	Puerto Rico
PuertoRico/PR-CDC-S104/2020	ncov	2020-09-02	North America	Puerto Rico
PuertoRico/PR-CDC-S41/2020	ncov	2020-07-15	North America	Puerto Rico
PuertoRico/PR-CDC-S49/2020	ncov	2020-07-23	North America	Puerto Rico
PuertoRico/PR-CDC-S60/2020	ncov	2020-07-31	North America	Puerto Rico
PuertoRico/PR-CDC-S70/2020	ncov	2020-10-19	North America	Puerto Rico
PuertoRico/PR-CDC-S132/2021	ncov	2021-01-21	North America	Puerto Rico
PuertoRico/PR-CDC-S28/2020	ncov	2020-07-15	North America	Puerto Rico
PuertoRico/PR-CDC-S96/2020	ncov	2020-09-05	North America	Puerto Rico
PuertoRico/PR-CDC-STM-000004363/2021	ncov	2021-01-20	North America	Puerto Rico
PuertoRico/PR-CDC-STM-000003673/2021	ncov	2021-01-16	North America	Puerto Rico
PuertoRico/PR-CDC-ASC210002056/2021	ncov	2021-03-03	North America	Puerto Rico
PuertoRico/PR-CDC-S179/2021	ncov	2021-03-03	North America	Puerto Rico
PuertoRico/PR-02262021-383/2021	ncov	2021-02-26	North America	Puerto Rico
PuertoRico/PR-CDC-S251/2021	ncov	2021-03-23	North America	Puerto Rico
PuertoRico/PR-CDC-S190/2021	ncov	2021-03-06	North America	Puerto Rico
PuertoRico/PR-CDC-ASC210006884/2021	ncov	2021-03-16	North America	Puerto Rico
PuertoRico/PR-CDC-S198/2021	ncov	2021-03-08	North America	Puerto Rico
PuertoRico/PR-CDC-LC0025693/2021	ncov	2021-03-08	North America	Puerto Rico
PuertoRico/PR-CDC-ASC210000168/2021	ncov	2021-03-01	North America	Puerto Rico
PuertoRico/PR-CDC-ASC210007401/2021	ncov	2021-03-15	North America	Puerto Rico
PuertoRico/PR-CDC-LC0037935/2021	ncov	2021-03-30	North America	Puerto Rico
PuertoRico/PR-CDC-S193/2021	ncov	2021-03-06	North America	Puerto Rico
PuertoRico/PR-CDC-S195/2021	ncov	2021-03-08	North America	Puerto Rico
PuertoRico/PR-CDC-S239/2021	ncov	2021-03-19	North America	Puerto Rico
PuertoRico/PR-CDC-S204/2021	ncov	2021-03-09	North America	Puerto Rico
PuertoRico/PR-CDC-S183/2021	ncov	2021-03-05	North America	Puerto Rico
PuertoRico/PR-CDC-S189/2021	ncov	2021-03-06	North America	Puerto Rico
PuertoRico/PR-CDC-S224/2021	ncov	2021-03-09	North America	Puerto Rico
PuertoRico/PR-CDC-S237/2021	ncov	2021-03-19	North America	Puerto Rico
PuertoRico/PR-CDC-S267/2021	ncov	2021-03-30	North America	Puerto Rico
PuertoRico/PR-CDC-S245/2021	ncov	2021-03-22	North America	Puerto Rico
PuertoRico/PR-CDC-S197/2021	ncov	2021-03-07	North America	Puerto Rico
PuertoRico/PR-CDC-S181/2021	ncov	2021-03-04	North America	Puerto Rico
PuertoRico/PR-CDC-FG-017310/2021	ncov	2021-03-30	North America	Puerto Rico
PuertoRico/PR-CDC-ASC210004475/2021	ncov	2021-03-11	North America	Puerto Rico
PuertoRico/PR-CDC-ASC210015273/2021	ncov	2021-03-22	North America	Puerto Rico
PuertoRico/PR-CDC-ASC210004663/2021	ncov	2021-03-15	North America	Puerto Rico
PuertoRico/PR-CDC-S302/2021	ncov	2021-01-22	North America	Puerto Rico
PuertoRico/PR-CDC-S469/2020	ncov	2020-10-22	North America	Puerto Rico
PuertoRico/PR-CDC-S307/2021	ncov	2021-02-05	North America	Puerto Rico
PuertoRico/PR-CDC-S358/2021	ncov	2021-03-02	North America	Puerto Rico
PuertoRico/PR-CDC-S352/2021	ncov	2021-03-15	North America	Puerto Rico
PuertoRico/PR-CDC-S355/2021	ncov	2021-03-01	North America	Puerto Rico
PuertoRico/PR-CDC-S375/2020	ncov	2020-11-05	North America	Puerto Rico
PuertoRico/PR-CDC-S384/2020	ncov	2020-11-11	North America	Puerto Rico
PuertoRico/PR-CDC-ASC210024883/2021	ncov	2021-03-29	North America	Puerto Rico
PuertoRico/PR-CDC-ASC210025777/2021	ncov	2021-03-29	North America	Puerto Rico
PuertoRico/PR-UPRRP-2387/2021	ncov	2021-03-31	North America	Puerto Rico
PuertoRico/PR-UPRRP-2359/2021	ncov	2021-03-30	North America	Puerto Rico
PuertoRico/PR-CDC-S315/2021	ncov	2021-02-10	North America	Puerto Rico
PuertoRico/PR-CDC-ASC210026097/2021	ncov	2021-03-29	North America	Puerto Rico
PuertoRico/PR-CDC-S322/2021	ncov	2021-03-25	North America	Puerto Rico
PuertoRico/PR-CDC-S332/2021	ncov	2021-03-29	North America	Puerto Rico
PuertoRico/PR-CDC-S331/2021	ncov	2021-03-29	North America	Puerto Rico
PuertoRico/PR-CDC-S328/2021	ncov	2021-03-28	North America	Puerto Rico
PuertoRico/PR-CDC-S311/2021	ncov	2021-03-21	North America	Puerto Rico
PuertoRico/PR-CDC-S321/2021	ncov	2021-03-25	North America	Puerto Rico
PuertoRico/PR-CDC-S376/2020	ncov	2020-11-04	North America	Puerto Rico
PuertoRico/PR-CDC-S383/2020	ncov	2020-11-09	North America	Puerto Rico
PuertoRico/PR-CDC-S281/2020	ncov	2020-12-18	North America	Puerto Rico
PuertoRico/PR-CDC-S283/2021	ncov	2021-01-07	North America	Puerto Rico
PuertoRico/PR-CDC-4115255-001/2020	ncov	2020-12-03	North America	Puerto Rico
PuertoRico/PR-CDC-S284/2020	ncov	2020-12-03	North America	Puerto Rico
PuertoRico/PR-CDC-S392/2020	ncov	2020-11-10	North America	Puerto Rico
PuertoRico/PR-CDC-S291/2020	ncov	2020-11-30	North America	Puerto Rico
PuertoRico/PR-CDC-S298/2021	ncov	2021-01-19	North America	Puerto Rico
PuertoRico/PR-CDC-S316/2021	ncov	2021-02-16	North America	Puerto Rico
PuertoRico/PR-CDC-2-4084611/2021	ncov	2021-03-19	North America	Puerto Rico
PuertoRico/PR-CDC-S379/2020	ncov	2020-11-04	North America	Puerto Rico
Qatar/QA-QU_18-5-1-E5/2021	ncov	2021-03-05	Asia	Qatar
Qatar/QA-QU_16-A5/2021	ncov	2021-01-12	Asia	Qatar
Romania/SV-2141/2021	ncov	2021-01-27	Europe	Romania
Romania/DJ67093/2021	ncov	2021-02-24	Europe	Romania
Romania/DJ22773/2020	ncov	2020-08-24	Europe	Romania
Romania/DJ68046/2021	ncov	2021-03-02	Europe	Romania
Romania/SV_SJU_37635/2021	ncov	2021-03-22	Europe	Romania
Russia/AST-RII-MH4447S/2020	ncov	2020-09-09	Europe	Russia
Russia/AST-RII-MH14475S/2020	ncov	2020-10-07	Europe	Russia
Russia/MOW-CRIE-L106P1441bhu/2021	ncov	2021-03-21	Europe	Russia
Russia/MOW-CRIE-L188M0196b/2021	ncov	2021-03-15	Europe	Russia
Russia/MOW-CSP-KOM-0046_S47/2020	ncov	2020-09-01	Europe	Russia
SaudiArabia/KAUST-MADINAH1651/2020	ncov	2020-07-17	Asia	Saudi Arabia
Senegal/202801/2021	ncov	2021-03-30	Africa	Senegal
Serbia/Belgrade-C335512111/2020	ncov	2020-11-21	Europe	Serbia
Singapore/198/2021	ncov	2021-02-14	Asia	Singapore
Singapore/360/2021	ncov	2021-03-31	Asia	Singapore
SintEustatius/BQ-RIVM-10372/2020	ncov	2020-09-08	North America	Sint Eustatius
SintEustatius/BQ-RIVM-10370/2020	ncov	2020-09-08	North America	Sint Eustatius
SintEustatius/BQ-RIVM-10371/2020	ncov	2020-09-08	North America	Sint Eustatius
SintEustatius/BQ-RIVM-10373/2020	ncov	2020-09-07	North America	Sint Eustatius
SintMaarten/SX-RIVM-10827/2021	ncov	2021-01-21	North America	Sint Maarten
SintMaarten/SX-RIVM-10803/2021	ncov	2021-01-21	North America	Sint Maarten
SintMaarten/SX-RIVM-10825/2021	ncov	2021-01-21	North America	Sint Maarten
SintMaarten/SX-RIVM-10823/2021	ncov	2021-01-21	North America	Sint Maarten
SintMaarten/SX-RIVM-13871/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13806/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13891/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13897/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-10804/2021	ncov	2021-01-21	North America	Sint Maarten
SintMaarten/SX-RIVM-10806/2021	ncov	2021-01-21	North America	Sint Maarten
SintMaarten/SX-RIVM-13877/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13846/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13820/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-10826/2021	ncov	2021-01-21	North America	Sint Maarten
SintMaarten/SX-RIVM-13827/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13854/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13826/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13852/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13819/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13833/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13881/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13840/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13812/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13886/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-10828/2021	ncov	2021-01-21	North America	Sint Maarten
SintMaarten/SX-RIVM-10824/2021	ncov	2021-01-21	North America	Sint Maarten
SintMaarten/SX-RIVM-10805/2021	ncov	2021-01-21	North America	Sint Maarten
SintMaarten/SX-RIVM-13807/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13813/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-13853/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-23060/2021	ncov	2021-02-08	North America	Sint Maarten
SintMaarten/SX-RIVM-23101/2021	ncov	2021-02-27	North America	Sint Maarten
SintMaarten/SX-RIVM-23059/2021	ncov	2021-02-08	North America	Sint Maarten
SintMaarten/SX-RIVM-23088/2021	ncov	2021-02-09	North America	Sint Maarten
SintMaarten/SX-RIVM-23090/2021	ncov	2021-02-17	North America	Sint Maarten
SintMaarten/SX-RIVM-23098/2021	ncov	2021-02-16	North America	Sint Maarten
SintMaarten/SX-RIVM-23109/2021	ncov	2021-02-09	North America	Sint Maarten
SintMaarten/SX-RIVM-23110/2021	ncov	2021-02-10	North America	Sint Maarten
SintMaarten/SX-RIVM-23041/2021	ncov	2021-03-17	North America	Sint Maarten
SintMaarten/SX-RIVM-23080/2021	ncov	2021-02-10	North America	Sint Maarten
SintMaarten/SX-RIVM-23040/2021	ncov	2021-02-26	North America	Sint Maarten
SintMaarten/SX-RIVM-23099/2021	ncov	2021-02-10	North America	Sint Maarten
SintMaarten/SX-RIVM-23051/2021	ncov	2021-02-22	North America	Sint Maarten
SintMaarten/SX-RIVM-23048/2021	ncov	2021-03-01	North America	Sint Maarten
SintMaarten/SX-RIVM-23231/2021	ncov	2021-03-25	North America	Sint Maarten
SintMaarten/SX-RIVM-23197/2021	ncov	2021-03-27	North America	Sint Maarten
SintMaarten/SX-RIVM-23071/2021	ncov	2021-03-17	North America	Sint Maarten
SintMaarten/SX-RIVM-23061/2021	ncov	2021-03-17	North America	Sint Maarten
